"especie","comprimento","peso","profundidade_maxima","volume_cranio"
"Baleia Azul",31,21887,294,17255.2
"Cachalote",22,5227,118,7313.2
"Baleia Fin",26,9723,259,9380.3
"Baleia Fin",25,10537,219,9405
"Cachalote",19,5447,176,5692.5
"Jubarte",18,3901,192,4361.3
"Baleia Fin",25,11413,260,9580.7
"Baleia Fin",22,10782,270,9501.3
"Baleia Fin",25,12214,NA,10557.1
"Baleia Fin",25,11116,249,9933
"Baleia Azul",31,21469,263,10310
"Baleia Azul",35,16794,319,15670.3
"Jubarte",18,4132,187,4883.3
"Baleia Azul",35,20812,NA,13234
"Cachalote",18,5827,138,7441.3
"Cachalote",18,6248,162,8011
"Baleia Fin",25,9192,252,11691.1
"Jubarte",17,4285,180,4617.1
"Cachalote",18,6249,167,4332
"Cachalote",17,6351,134,4693.6
"Jubarte",17,5618,193,3399.8
"Cachalote",20,NA,NA,5791.2
"Cachalote",17,6283,150,7467.7
"Baleia Fin",23,9821,243,9699.8
"Baleia Fin",27,11034,288,7339.2
"Cachalote",22,4899,157,7412.3
"Cachalote",20,5714,151,6751.1
"Cachalote",18,5617,121,7128.4
"Baleia Azul",31,19832,269,17962
"Cachalote",19,5248,129,8352.8
"Cachalote",23,6302,138,7147.6
"Baleia Azul",29,20666,302,16149.4
"Baleia Fin",24,11355,239,9855
"Jubarte",17,3917,183,5181.6
"Jubarte",17,4310,194,5467.8
"Baleia Fin",25,11482,249,9798.9
"Cachalote",20,7182,130,4955
"Baleia Fin",25,11925,248,9276.3
"Baleia Fin",26,11708,243,7827.1
"Cachalote",16,4360,163,7452.9
"Baleia Azul",30,19705,281,18793.3
"Baleia Azul",30,20208,253,9748.2
"Baleia Fin",26,11215,255,9416.7
"Baleia Fin",22,11334,241,10079.4
"Jubarte",19,4071,182,4284.2
"Jubarte",22,3829,198,4606.2
"Baleia Fin",24,11589,233,8987.2
"Cachalote",18,4566,143,8067.9
"Jubarte",19,4565,193,4954.5
"Jubarte",15,3871,205,4913.2
"Baleia Azul",29,21038,335,16832.4
"Baleia Azul",33,19525,279,12189.1
"Baleia Azul",32,20592,298,19077.6
"Baleia Fin",24,11574,258,7580.6
"Baleia Fin",30,11948,232,8895.2
"Baleia Fin",23,12167,263,9217.7
"Baleia Azul",29,20163,333,14312.9
"Jubarte",16,5261,181,5303
"Jubarte",18,4460,189,5376.3
"Cachalote",20,5179,141,7366.4
"Baleia Azul",29,22311,295,13808.5
"Baleia Azul",31,24487,253,13838.4
"Cachalote",20,5583,108,6950.2
"Jubarte",19,4092,185,4613.9
"Baleia Fin",25,10719,238,7741.9
"Jubarte",17,4050,200,3696.6
"Baleia Azul",31,18952,348,14746.7
"Jubarte",19,3505,206,5084.6
"Baleia Fin",29,11555,232,9626.6
"Baleia Azul",30,19202,345,16091.2
"Baleia Azul",31,21425,322,15845.7
"Baleia Azul",33,18730,303,12336.9
"Baleia Fin",26,9909,281,9458.8
"Baleia Azul",30,18687,277,12208
"Jubarte",20,4701,191,4333.1
"Baleia Azul",27,20114,318,13395.3
"Baleia Fin",25,11045,224,8316.9
"Jubarte",18,3244,188,4870.2
"Cachalote",18,5574,158,6663.3
"Cachalote",20,6421,98,5927.1
"Cachalote",22,8170,126,6381.2
"Jubarte",18,4135,188,6495.9
"Jubarte",18,4425,191,6009.8
"Cachalote",21,5535,164,7166.9
"Baleia Fin",26,9832,281,8435.6
"Jubarte",17,3621,192,5082.7
"Baleia Azul",29,20083,282,14190.2
"Baleia Azul",30,18225,209,14763.4
"Baleia Azul",27,19112,281,17630.4
"Jubarte",20,4157,199,4619.7
"Jubarte",19,4210,179,5400.6
"Jubarte",19,3313,183,6441.5
"Jubarte",18,4019,201,4903.3
"Jubarte",18,4361,192,5374.4
"Baleia Fin",25,9402,234,8862.3
"Jubarte",18,3749,187,4906.4
"Baleia Azul",31,21252,273,18248.9
"Baleia Fin",24,12627,234,8316.5
"Jubarte",17,3981,170,3759.2
"Baleia Fin",25,9944,242,8713.1
"Baleia Fin",26,11980,267,9431.9
"Jubarte",17,4537,193,4178.9
"Baleia Fin",25,10448,253,8664.4
"Jubarte",20,3420,178,5148
"Cachalote",21,5716,172,8614
"Jubarte",20,3696,178,6542.2
"Baleia Fin",25,10864,258,8509.3
"Baleia Fin",25,10621,239,9899
"Baleia Azul",29,19866,272,14971.1
"Baleia Azul",26,17836,261,15281.1
"Baleia Fin",25,9681,249,8908.3
"Jubarte",17,4516,207,5840.2
"Baleia Fin",24,10089,236,9914
"Baleia Azul",27,21922,314,18519.2
"Baleia Azul",32,21101,286,16199
"Baleia Fin",22,NA,NA,9978.2
"Cachalote",16,4969,129,6732.1
"Cachalote",20,5506,142,7018.3
"Cachalote",19,6489,132,7959.5
"Baleia Azul",28,19841,277,14782.5
"Jubarte",18,3360,192,4920.8
"Baleia Azul",27,18901,255,16185
"Jubarte",16,3624,204,4385.3
"Jubarte",17,3739,169,4304.7
"Baleia Fin",23,9074,247,8653
"Cachalote",19,5975,136,4823
"Baleia Azul",31,21942,306,13792.3
"Baleia Fin",23,10190,274,10992.4
"Baleia Azul",33,19071,265,14624.5
"Baleia Azul",33,22394,306,13422.8
"Cachalote",22,5174,159,6979.3
